Igor Amidzic,1234-1234,igoramidzic@usf.edu,100,100,100
Oleh Tielushko,234-1234,igoramidzic@usf.edu,100,100,100
Yakira Quemba,1234-1234,yakiraq@usf.edu,100,100,100
Thinh Phung,1234-1234,thinhphung@usf.edu,100,100,100
Jack Dew,1234-0000,jdew@usf.edu,100,100,100
Igor Amidzics,1234-1234,igoramidzic@usf.edu,100,100,100
Oleh Tielushkos,234-1234,igoramidzic@usf.edu,100,100,100
Yakira Quembas,1234-1234,yakiraq@usf.edu,100,100,100
Thinh Phungs ,1234-1234,thinhphung@usf.edu,100,100,100
Jack Dewz,1234-0000,jdew@usf.edu,a,100,100
Igor Amidzicz,1234-1234,igoramidzic@usf.edu,100,100,100
Oleh Tielushkoz,234-1234,igoramidzic@usf.edu,100,100,100
Yakira Quembaz ,1234-1234,yakiraq@usf.edu,100,100,100
Thinh Phungz,1234-1234,thinhphung@usf.edu,100,100,100
Jack Dew,1234-0000,jdew@usf.edu,100,b,100
Igor Amidzic,1234-1234,igoramidzic@usf.edu,100,100,100
Oleh Tielushko ,234-1234,igoramidzic@usf.edu,100,100,100
Yakira Quemba,1234-1234,yakiraq@usf.edu,100,100,100
Thinh Phung,1234-1234,thinhphung@usf.edu,100,100,100
Jack Dew,1234-0000,jdew@usf.edu,100,100,100
